         64853734 function calls (64345389 primitive calls) in 139.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6012    0.193    0.000    2.575    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:1727(iirfilter)
   318636    0.380    0.000    2.535    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:311(_prune_cache)
   160416    2.496    0.000    2.496    0.000 {built-in method numpy.linalg.lapack_lite.zgelsd}
   556199    0.455    0.000    2.353    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:237(<listcomp>)
    79214    1.191    0.000    2.212    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:1752(det)
  3466046    0.966    0.000    2.103    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:534(asanyarray)
   318636    0.644    0.000    2.076    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:317(_check_size)
     6012    1.056    0.000    2.015    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\basic.py:892(lstsq)
  1112398    1.096    0.000    1.898    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:63(atleast_2d)
   472800    0.355    0.000    1.721    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:983(_m3D)
   614941    0.508    0.000    1.692    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
   365580    1.662    0.000    1.662    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   194740    0.364    0.000    1.602    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1886(any)
    22545    0.231    0.000    1.591    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:61(Taper)
     2007    0.015    0.000    1.542    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:1748(add_line)
   490836    0.351    0.000    1.447    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:138(reshape)
     4014    0.106    0.000    1.428    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2250(handle_single_axis)
     6012    0.032    0.000    1.406    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:25(filtfilt)
     6012    0.131    0.000    1.367    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:2926(filtfilt)
     6012    0.063    0.000    1.357    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:907(zpk2tf)
    24048    0.240    0.000    1.354    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\fftpack.py:198(ifft)
  1212886    1.325    0.000    1.325    0.000 {built-in method numpy.core.multiarray.zeros}
     1503    0.007    0.000    1.318    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\spectrum\mtm.py:417(_autocov)
     1503    0.079    0.000    1.310    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\spectrum\mtm.py:433(_crosscov)
     1503    0.133    0.000    1.229    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\spectrum\mtm.py:514(_fftconvolve)
    12024    0.296    0.000    1.214    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\polynomial.py:32(poly)
   454387    1.171    0.000    1.171    0.000 {method 'astype' of 'numpy.ndarray' objects}
   194742    0.195    0.000    1.060    0.000 {method 'any' of 'numpy.ndarray' objects}
   318636    0.427    0.000    1.040    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:318(<listcomp>)
     2097    0.016    0.000    1.016    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\artist.py:629(set_clip_path)
     2097    0.005    0.000    0.939    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\patches.py:216(get_transform)
     2007    0.371    0.000    0.929    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2240(<listcomp>)
 11963870    0.922    0.000    0.922    0.000 {built-in method builtins.abs}
     2097    0.002    0.000    0.921    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\patches.py:721(get_patch_transform)
     2097    0.017    0.000    0.919    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\patches.py:705(_update_patch_transform)
   165848    0.556    0.000    0.912    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:139(_commonType)
   194742    0.091    0.000    0.865    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\_methods.py:37(_any)
   318636    0.522    0.000    0.838    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:283(pop_twiddle_factors)
   990947    0.356    0.000    0.829    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:463(asarray)
   959922    0.576    0.000    0.813    0.000 {built-in method builtins.sum}
     2422    0.006    0.000    0.757    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:1898(__init__)
    13547    0.014    0.000    0.746    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:1753(__init__)
    30488    0.741    0.000    0.741    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:83(__init__)
   125912    0.162    0.000    0.724    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:150(ones)
   500618    0.675    0.000    0.675    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     3006    0.512    0.000    0.621    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\fftpack\basic.py:184(fft)
     6012    0.126    0.000    0.620    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:2543(lfilter_zi)
    60627    0.179    0.000    0.603    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2174(amax)
    22555    0.389    0.000    0.566    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4894(insert)
  2023079    0.558    0.000    0.558    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\artist.py:892(sticky_edges)
     1503    0.066    0.000    0.551    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:734(_RotateToPSV)
    24048    0.542    0.000    0.542    0.000 {built-in method numpy.fft.fftpack_lite.cfftb}
    12024    0.173    0.000    0.526    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\index_tricks.py:247(__getitem__)
    19539    0.128    0.000    0.508    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:22(fftshift)
     4014    0.008    0.000    0.504    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:398(_grab_next_args)
     2007    0.024    0.000    0.496    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:353(_plot_args)
    22545    0.436    0.000    0.491    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:3384(hanning)
  4578565    0.446    0.000    0.446    0.000 {built-in method builtins.len}
      414    0.418    0.001    0.430    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:449(inv)
    80208    0.183    0.000    0.424    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:180(_fastCopyAndTranspose)
    60627    0.034    0.000    0.423    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\_methods.py:25(_amax)
  3749065    0.415    0.000    0.415    0.000 {method 'append' of 'list' objects}
   917012    0.409    0.000    0.409    0.000 {built-in method builtins.max}
     6012    0.250    0.000    0.407    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:2081(_zpklp2bp)
     2007    0.014    0.000    0.400    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:1777(_update_line_limits)
   131661    0.388    0.000    0.388    0.000 {built-in method numpy.core.multiarray.copyto}
     8028    0.036    0.000    0.367    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:2463(isclose)
     1503    0.352    0.000    0.362    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\fftpack\basic.py:292(ifft)
    10878    0.223    0.000    0.360    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\function_base.py:25(linspace)
     1914    0.011    0.000    0.355    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:1077(Mahalanobis)
    80208    0.351    0.000    0.351    0.000 {built-in method numpy.linalg.lapack_lite.dgelsd}
     2487    0.058    0.000    0.350    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\lines.py:295(__init__)
     6012    0.010    0.000    0.342    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4020(median)
     6012    0.135    0.000    0.342    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:1919(_zpkbilinear)
   172854    0.176    0.000    0.336    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:106(_makearray)
    25551    0.049    0.000    0.335    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(take)
     6012    0.018    0.000    0.332    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:3966(_ureduce)
    13528    0.035    0.000    0.328    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2806(mean)
    18036    0.057    0.000    0.327    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:964(find_common_type)
    92232    0.095    0.000    0.324    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:504(transpose)
     1917    0.198    0.000    0.319    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:283(MakeFullModel)
    12024    0.025    0.000    0.318    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:1193(lfilter)
    48096    0.126    0.000    0.317    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:978(convolve)
     2007    0.011    0.000    0.314    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:296(_makeline)
     6012    0.059    0.000    0.309    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4108(_median)
    13528    0.105    0.000    0.293    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\_methods.py:53(_mean)
     6012    0.158    0.000    0.290    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\lapack.py:511(_compute_lwork)
    59860    0.048    0.000    0.284    0.000 {method 'all' of 'numpy.ndarray' objects}
     6012    0.012    0.000    0.284    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\lapack.py:469(get_lapack_funcs)
   102985    0.273    0.000    0.273    0.000 {built-in method numpy.core.multiarray.arange}
     6012    0.067    0.000    0.272    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\blas.py:226(_get_funcs)
   892972    0.261    0.000    0.271    0.000 {built-in method builtins.getattr}
   637272    0.263    0.000    0.263    0.000 {method 'pop' of 'collections.OrderedDict' objects}
    12024    0.259    0.000    0.259    0.000 {built-in method scipy.signal.sigtools._linear_filter}
    12024    0.075    0.000    0.254    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\_lib\_util.py:192(_asarray_validated)
     4014    0.024    0.000    0.252    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:718(union)
     2167    0.004    0.000    0.251    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\lines.py:945(get_path)
     2167    0.039    0.000    0.247    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\lines.py:649(recache)
    36072    0.184    0.000    0.239    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:942(_can_coerce_all)
   542055    0.143    0.000    0.239    0.000 {built-in method builtins.isinstance}
  1274544    0.237    0.000    0.237    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:318(<genexpr>)
    59860    0.024    0.000    0.236    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\_methods.py:40(_all)
   140061    0.234    0.000    0.234    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6012    0.117    0.000    0.233    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:300(solve)
   160416    0.229    0.000    0.229    0.000 {built-in method numpy.core.multiarray._fastCopyAndTranspose}
    80717    0.224    0.000    0.224    0.000 {method 'astype' of 'numpy.generic' objects}
     1999    0.048    0.000    0.221    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:419(Mutate)
   417916    0.157    0.000    0.219    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:111(isComplexType)
     2007    0.006    0.000    0.218    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2775(set_xbound)
     8028    0.090    0.000    0.217    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:2522(within_tol)
28130/18090    0.082    0.000    0.217    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\units.py:124(get_converter)
   149459    0.213    0.000    0.213    0.000 {built-in method numpy.core.multiarray.empty}
    85640    0.138    0.000    0.212    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:209(_assertNdSquareness)
     2007    0.209    0.000    0.209    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2241(<listcomp>)
    32099    0.056    0.000    0.206    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1973(all)
     2012    0.021    0.000    0.197    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2839(set_xlim)
   332276    0.129    0.000    0.196    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:124(_realType)
     2013    0.004    0.000    0.193    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:941(gca)
     6012    0.170    0.000    0.191    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\special_matrices.py:555(companion)
     6012    0.019    0.000    0.190    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:3122(_validate_pad)
     2007    0.186    0.000    0.186    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2242(<listcomp>)
     2013    0.003    0.000    0.181    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\figure.py:1565(gca)
    80208    0.149    0.000    0.180    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:168(_to_native_byte_order)
        5    0.000    0.000    0.176    0.035 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:1340(title)
        5    0.000    0.000    0.175    0.035 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\figure.py:978(add_subplot)
     6012    0.034    0.000    0.175    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\linalg\blas.py:177(find_best_blas_type)
        5    0.000    0.000    0.173    0.035 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_subplots.py:23(__init__)
     6012    0.099    0.000    0.171    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\_arraytools.py:57(odd_ext)
        5    0.001    0.000    0.170    0.034 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:420(__init__)
    30070    0.043    0.000    0.166    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:709(sort)
    25551    0.166    0.000    0.166    0.000 {method 'take' of 'numpy.ndarray' objects}
    12024    0.076    0.000    0.161    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:1152(asarray_chkfinite)
     2007    0.005    0.000    0.161    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:3116(set_ybound)
   488183    0.159    0.000    0.159    0.000 {built-in method builtins.min}
   766185    0.149    0.000    0.149    0.000 {built-in method builtins.issubclass}
   318636    0.148    0.000    0.148    0.000 {method 'pop' of 'list' objects}
     2013    0.016    0.000    0.141    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:3161(set_ylim)
    14131    0.140    0.000    0.140    0.000 {built-in method numpy.core.multiarray.dot}
     6012    0.112    0.000    0.136    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:3324(buttap)
       60    0.001    0.000    0.134    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:742(cla)
    12064    0.015    0.000    0.133    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:1484(convert_units)
     8050    0.029    0.000    0.124    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2820(_validate_converted_limits)
    80/60    0.001    0.000    0.123    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:780(reset_ticks)
  160/120    0.003    0.000    0.122    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:68(__init__)
     6012    0.013    0.000    0.119    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\arraysetops.py:113(unique)
    80208    0.070    0.000    0.116    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:223(_assertNoEmpty2d)
    12053    0.086    0.000    0.116    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:2868(nonsingular)
     2007    0.004    0.000    0.113    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:1337(contains_branch_seperately)
    12034    0.028    0.000    0.113    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\function_base.py:5100(append)
    18785    0.039    0.000    0.112    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2275(amin)
     2007    0.005    0.000    0.109    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:1317(contains_branch)
     6026    0.007    0.000    0.105    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:1425(update_units)
     6012    0.055    0.000    0.102    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\arraysetops.py:250(_unique1d)
        5    0.001    0.000    0.102    0.020 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:956(cla)
     6997    0.026    0.000    0.101    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
     2022    0.008    0.000    0.098    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:910(_set_artist_props)
    95270    0.072    0.000    0.096    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:2135(isscalar)
    36809    0.056    0.000    0.095    0.000 C:\Users\Emily\Anaconda3\lib\abc.py:178(__instancecheck__)
    95238    0.094    0.000    0.094    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    48096    0.094    0.000    0.094    0.000 {built-in method numpy.core.multiarray.correlate}
     2000    0.028    0.000    0.092    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:261(CheckPrior)
    20102    0.018    0.000    0.090    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2301(safe_first_element)
   165630    0.090    0.000    0.090    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\type_check.py:148(imag)
   416672    0.090    0.000    0.090    0.000 {method 'get' of 'dict' objects}
    12024    0.049    0.000    0.089    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\type_check.py:17(mintypecode)
     2097    0.006    0.000    0.085    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:2028(rotate_deg_around)
     3006    0.036    0.000    0.084    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\fftpack\basic.py:146(_fix_shape)
    10385    0.008    0.000    0.084    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\artist.py:184(convert_xunits)
    85640    0.084    0.000    0.084    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:198(_assertRankAtLeast2)
     4809    0.005    0.000    0.083    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2792(round_)
    12024    0.029    0.000    0.081    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2408(prod)
     6012    0.025    0.000    0.080    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1730(sum)
     8233    0.028    0.000    0.080    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\transforms.py:749(__init__)
     4494    0.010    0.000    0.078    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\lines.py:619(axes)
     2007    0.010    0.000    0.078    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:214(_xy_from_xy)
     4809    0.007    0.000    0.078    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2723(around)
    10387    0.008    0.000    0.078    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\artist.py:193(convert_yunits)
    54108    0.075    0.000    0.075    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\_arraytools.py:9(axis_slice)
    36082    0.075    0.000    0.075    0.000 {method 'sort' of 'numpy.ndarray' objects}
    18785    0.007    0.000    0.073    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\_methods.py:28(_amin)
    16056    0.033    0.000    0.073    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:2667(seterr)
